territoire;Commune;annee;secteur;consommation_mwh
Corse;Afa;2023;Résidentiel;13067.37
Corse;Aghione;2023;Résidentiel;676.984
Corse;Aiti;2023;Résidentiel;152.177
Corse;Ajaccio;2023;Résidentiel;131253.861
Corse;Alando;2023;Résidentiel;103.39
Corse;Alata;2023;Résidentiel;12191.202
Corse;Albertacce;2023;Résidentiel;741.707
Corse;Albitreccia;2023;Résidentiel;7213.233
Corse;Aléria;2023;Résidentiel;6356.182
Corse;Algajola;2023;Résidentiel;2026.848
Corse;Altagène;2023;Résidentiel;210.681
Corse;Altiani;2023;Résidentiel;251.19
Corse;Alzi;2023;Résidentiel;39.09
Corse;Ambiegna;2023;Résidentiel;113.418
Corse;Ampriani;2023;Résidentiel;69.296
Corse;Antisanti;2023;Résidentiel;1510.977
Corse;Appietto;2023;Résidentiel;5116.7
Corse;Arbellara;2023;Résidentiel;661.615
Corse;Arbori;2023;Résidentiel;277.409
Corse;Aregno;2023;Résidentiel;2204.164
Corse;Argiusta-Moriccio;2023;Résidentiel;341.96
Corse;Arro;2023;Résidentiel;208.633
Corse;Asco;2023;Résidentiel;494.69
Corse;Aullène;2023;Résidentiel;726.1
Corse;Avapessa;2023;Résidentiel;361.86
Corse;Azilone-Ampaza;2023;Résidentiel;500.808
Corse;Azzana;2023;Résidentiel;185.389
Corse;Balogna;2023;Résidentiel;471.523
Corse;Barbaggio;2023;Résidentiel;1175.817
Corse;Barrettali;2023;Résidentiel;660.767
Corse;Bastelica;2023;Résidentiel;2282.648
Corse;Bastelicaccia;2023;Résidentiel;14704.128
Corse;Bastia;2023;Résidentiel;73045.208
Corse;Belgodère;2023;Résidentiel;3073.664
Corse;Belvédère-Campomoro;2023;Résidentiel;1410.541
Corse;Bigorno;2023;Résidentiel;174.057
Corse;Biguglia;2023;Résidentiel;23587.369
Corse;Bilia;2023;Résidentiel;200.455
Corse;Bisinchi;2023;Résidentiel;603.376
Corse;Bocognano;2023;Résidentiel;1622.697
Corse;Bonifacio;2023;Résidentiel;16239.891
Corse;Borgo;2023;Résidentiel;26195.555
Corse;Brando;2023;Résidentiel;6840.377
Corse;Bustanico;2023;Résidentiel;160.262
Corse;Cagnano;2023;Résidentiel;813.705
Corse;Calacuccia;2023;Résidentiel;1280.975
Corse;Calcatoggio;2023;Résidentiel;3964.589
Corse;Calenzana;2023;Résidentiel;9581.247
Corse;Calvi;2023;Résidentiel;20237.073
Corse;Cambia;2023;Résidentiel;180.456
Corse;Campana;2023;Résidentiel;64.961
Corse;Campi;2023;Résidentiel;55.0
Corse;Campile;2023;Résidentiel;521.285
Corse;Campitello;2023;Résidentiel;275.49
Corse;Campo;2023;Résidentiel;411.092
Corse;Canale-di-Verde;2023;Résidentiel;996.126
Corse;Canari;2023;Résidentiel;1078.527
Corse;Canavaggia;2023;Résidentiel;355.058
Corse;Cannelle;2023;Résidentiel;191.079
Corse;Carbini;2023;Résidentiel;425.227
Corse;Carbuccia;2023;Résidentiel;1258.412
Corse;Carcheto-Brustico;2023;Résidentiel;165.627
Corse;Cardo-Torgia;2023;Résidentiel;106.12
Corse;Cargèse;2023;Résidentiel;5045.097
Corse;Cargiaca;2023;Résidentiel;104.361
Corse;Carpineto;2023;Résidentiel;99.842
Corse;Carticasi;2023;Résidentiel;111.145
Corse;Casabianca;2023;Résidentiel;221.351
Corse;Casaglione;2023;Résidentiel;2011.694
Corse;Casalabriva;2023;Résidentiel;864.512
Corse;Casalta;2023;Résidentiel;93.289
Corse;Casamaccioli;2023;Résidentiel;577.104
Corse;Casanova;2023;Résidentiel;1242.278
Corse;Casevecchie;2023;Résidentiel;104.493
Corse;Castellare-di-Casinca;2023;Résidentiel;2157.953
Corse;Castellare-di-Mercurio;2023;Résidentiel;103.686
Corse;Castello-di-Rostino;2023;Résidentiel;1540.012
Corse;Castifao;2023;Résidentiel;504.468
Corse;Castiglione;2023;Résidentiel;154.824
Corse;Castineta;2023;Résidentiel;187.424
Corse;Castirla;2023;Résidentiel;638.624
Corse;Cateri;2023;Résidentiel;804.661
Corse;Cauro;2023;Résidentiel;5728.305
Corse;Centuri;2023;Résidentiel;1012.742
Corse;Cervione;2023;Résidentiel;6021.204
Corse;Chiatra;2023;Résidentiel;701.897
Corse;Chisa;2023;Résidentiel;275.851
Corse;Ciamannacce;2023;Résidentiel;216.086
Corse;Coggia;2023;Résidentiel;2567.11
Corse;Cognocoli-Monticchi;2023;Résidentiel;627.43
Corse;Conca;2023;Résidentiel;4531.56
Corse;Corbara;2023;Résidentiel;5815.568
Corse;Corrano;2023;Résidentiel;228.571
Corse;Corscia;2023;Résidentiel;523.412
Corse;Corte;2023;Résidentiel;20586.825
Corse;Costa;2023;Résidentiel;308.469
Corse;Coti-Chiavari;2023;Résidentiel;6245.126
Corse;Cozzano;2023;Résidentiel;724.682
Corse;Cristinacce;2023;Résidentiel;176.413
Corse;Croce;2023;Résidentiel;223.52
Corse;Crocicchia;2023;Résidentiel;188.193
Corse;Cuttoli-Corticchiato;2023;Résidentiel;8127.763
Corse;Eccica-Suarella;2023;Résidentiel;4668.782
Corse;Erbajolo;2023;Résidentiel;372.249
Corse;Érone;2023;Résidentiel;9.974
Corse;Ersa;2023;Résidentiel;763.194
Corse;Évisa;2023;Résidentiel;726.423
Corse;Farinole;2023;Résidentiel;979.697
Corse;Favalello;2023;Résidentiel;233.394
Corse;Felce;2023;Résidentiel;177.081
Corse;Feliceto;2023;Résidentiel;866.219
Corse;Ficaja;2023;Résidentiel;111.928
Corse;Figari;2023;Résidentiel;6657.574
Corse;Foce;2023;Résidentiel;533.833
Corse;Focicchia;2023;Résidentiel;123.872
Corse;Forciolo;2023;Résidentiel;191.884
Corse;Fozzano;2023;Résidentiel;600.4
Corse;Frasseto;2023;Résidentiel;274.719
Corse;Furiani;2023;Résidentiel;16110.139
Corse;Galéria;2023;Résidentiel;2570.163
Corse;Gavignano;2023;Résidentiel;196.276
Corse;Ghisonaccia;2023;Résidentiel;11934.369
Corse;Ghisoni;2023;Résidentiel;985.321
Corse;Giocatojo;2023;Résidentiel;125.971
Corse;Giuncaggio;2023;Résidentiel;172.996
Corse;Giuncheto;2023;Résidentiel;378.401
Corse;Granace;2023;Résidentiel;227.088
Corse;Grossa;2023;Résidentiel;239.93
Corse;Grosseto-Prugna;2023;Résidentiel;16434.085
Corse;Guagno;2023;Résidentiel;429.175
Corse;Guargualé;2023;Résidentiel;275.416
Corse;Guitera-les-Bains;2023;Résidentiel;513.164
Corse;Isolaccio-di-Fiumorbo;2023;Résidentiel;867.98
Corse;L'Île-Rousse;2023;Résidentiel;10631.589
Corse;La Porta;2023;Résidentiel;596.703
