﻿ID de l'entité;Code INSEE;Date de mise à jour;Type d'entité;Nom de l'entité;Editeur de la source;Commune;Adresse;Code Postal;Coordonnées;Email;URL;Notes;EPCI;Département;Région
mairie-2B208-01;2B208;2021-10-25;Mairie;Mairie - Perelli;La Direction de l'information légale et administrative (Premier ministre);Perelli;Village;20234;42.323455, 9.392227;mairiedeperelli@orange.fr;;;CC de la Costa Verde;HAUTE-CORSE;CORSE
;2A198;;;Ota;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
gendarmerie-2A085-01;2A085;2019-01-22;Gendarmerie;Brigade de gendarmerie - Cauro;La Direction de l'information légale et administrative (Premier ministre);Cauro;Piscia;20117;41.9177478991128, 8.91666518783563;https://www.contacterlagendarmerie.fr;http://www.gendarmerie.interieur.gouv.fr;;CC de la Pieve de l'Ornano;CORSE-DU-SUD;CORSE
mairie-2A115-01;2A115;2021-03-08;Mairie;Mairie - Foce;La Direction de l'information légale et administrative (Premier ministre);Foce;Bilzese;20100;41.6232757568, 9.01253509521;communedefoce@orange.fr;;;CC du Sartenais Valinco Taravo;CORSE-DU-SUD;CORSE
mairie-2A268-01;2A268;2021-03-08;Mairie;Mairie - Sampolo;La Direction de l'information légale et administrative (Premier ministre);Sampolo;Le Village;20134;41.9417953491, 9.12334537506;mairie-sampolo@orange.fr;http://www.mairie-sampolo.com;;CC de la Pieve de l'Ornano;CORSE-DU-SUD;CORSE
;2A100;;;Cristinacce;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
;2A258;;;Renno;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
mairie-2B016-01;2B016;2021-03-08;Mairie;Mairie - Antisanti;La Direction de l'information légale et administrative (Premier ministre);Antisanti;Le Bourg;20270;42.1665725708, 9.34764099121;mairie.antisanti@wanadoo.fr;http://www.mairie-antisanti.com;;CC de l'Oriente;HAUTE-CORSE;CORSE
fdc-2A004-01;2A004;2021-05-17;Fdc;Fédération départementale des chasseurs - Corse-du-Sud;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;"[""Résidence des Lacs"", ""Avenue du Mont-Thabor""]";20090;41.919229, 8.738635;secretariat@fdc2a.corsica;http://www.fdc2a.corsica;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mairie-2A240-01;2A240;2017-09-06;Mairie;Mairie - Poggiolo;La Direction de l'information légale et administrative (Premier ministre);Poggiolo;Le Village;20125;42.17253, 8.910825;commune-de-poggiolo@orange.fr;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
msap-2A004-01;2A004;2022-02-23;Msap;France Services - Ajaccio;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;"[""Jardins de l'Empereur"", ""Tour Napoléon"", ""Avenue de la Grande-Armée""]";20000;41.9267563, 8.728239;ajaccio.empereur@france-services.gouv.fr;https://www.cohesion-territoires.gouv.fr/france-services;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
